Week → Semana;;;;;;;;;;;;;
Days of the week → Dias da semana;;;;;;;;;;Weekend → Final de semana;;;
Monday – Segunda-feira;;Tuesday – Terça-feira;;Wednesday – Quarta-feira;;Thursday – Quinta-feira;;Friday – Sexta-feira;;Saturday – Sábado;;Sunday – Domingo;
EU ACORDO ÀS 8:00 DA MANHÃ;;EU ACORDO ÀS 8:00 DA MANHÃ;;EU ACORDO ÀS 8:00 DA MANHÃ;;EU ACORDO ÀS 8:00 DA MANHÃ;;;;;;;
;;;;;;;;;;;;;
;;;;;;EU ESCOVO MEUS DENTES APÓS ACORDAR;;;;;;;
EU ESCOVO MEUS DENTES APÓS ACORDAR;;EU ESCOVO MEUS DENTES APÓS ACORDAR;;EU ESCOVO MEUS DENTES APÓS ACORDAR;;;;;;;;;
;;;;;;EU ARRUMO MINHA CAMA ;;;;;;;
EU ARRUMO MINHA CAMA ;;EU ARRUMO MINHA CAMA ;;EU ARRUMO MINHA CAMA ;;;;;;;;;
;;;;;;EU COMEÇO A TRABALHAR ÀS 8:00 DA MANHÃ;;;;;;;
EU COMEÇO A TRABALHAR ÀS 8:00 DA MANHÃ;;EU COMEÇO A TRABALHAR ÀS 8:00 DA MANHÃ;;EU COMEÇO A TRABALHAR ÀS 8:00 DA MANHÃ;;;;;;;;;
;;;;;;EU LIGO COMPUTADOR APÓS ARRUMAR A CAMA;;;;;;;
EU LIGO COMPUTADOR APÓS ARRUMAR A CAMA;;EU LIGO COMPUTADOR APÓS ARRUMAR A CAMA;;EU LIGO COMPUTADOR APÓS ARRUMAR A CAMA;;;;;;;;;
;;;;;;EU PREPARO O CAFÉ  DA MANHÃ;;;;;;;
EU TOMO CAFÉ DA MANHÃ ÀS 10 HORAS;;EU PREPARO O CAFÉ DA MANHÃ;;EU PREPARO O CAFÉ  DA MANHÃ;;;;;;;;;
;;;;;;EU FRITO OVOS, EU GOSTO DE OVOS MEXIDOS;;;;;;;
EU NORMALMENTE COMO NO CAFÉ DA MANHÃ, PÃO COM OVOS E BEBO UMA XÍCARA DE CAFÉ;;EU FRITO OVOS, EU GOSTO DE OVOS MEXIDOS;;EU FRITO OVOS, EU GOSTO DE OVOS MEXIDOS;;;;;;;;;
;;;;;;;;;;;;;
